ll
-140.48338361122018
-140.48338361122018
-140.79680149578513
-137.4942781043012
-137.4942781043012
-133.65116125758578
-133.65116125758578
-133.65116125758578
-133.63165263334687
-133.90973991315988
-128.55723699336176
-128.55723699336176
-126.85075728176123
-126.85075728176123
-126.85075728176123
-126.14685147942257
-121.65183490758048
-120.79007736733878
-120.79007736733878
-120.79007736733878
-121.63074154813201
-115.3780726135174
-115.3780726135174
-115.3780726135174
-115.3780726135174
-115.3780726135174
-115.3780726135174
-115.3407064319939
-113.98682891158822
-113.45852023397376
-112.50291181004971
-109.04677506433006
-109.04677506433006
-109.04677506433006
-107.828864685039
-107.828864685039
-107.828864685039
-107.828864685039
-107.828864685039
-108.91094003887558
-101.10100712674725
-101.10100712674725
-101.48392875042163
-98.85076439525744
-96.81247816438805
-96.81247816438805
-96.6716738631356
-96.6716738631356
-97.22538268340631
-97.22538268340631
-93.48170456584894
-93.48170456584894
-93.48170456584894
-90.41290057222196
-90.41290057222196
-90.41290057222196
-90.41290057222196
-86.25089321011723
-86.25089321011723
-84.43817918986404
-84.43817918986404
-82.60191607975577
-82.60191607975577
-81.33691845569041
-80.46020566025511
-80.46020566025511
-80.02190593326816
-80.81238666058074
-80.13311020394768
-79.83364720480259
-79.83364720480259
-78.32681682939356
-78.06317868719927
-78.06317868719927
-78.06317868719927
-78.06317868719927
-77.63760141872879
-75.91904980740658
-78.39005053164355
-74.54347748801464
-72.26167936168711
-72.26167936168711
-71.45013136299329
-71.10806186656636
-71.73183221565198
-71.30036459839604
-67.88466717953605
-67.88466717953605
-67.88466717953605
-68.67722130323847
-65.28949190538813
-65.89105755215931
-65.89105755215931
-67.4119865500584
-63.91242103033379
-65.03272082385391
-63.82383027203393
-63.82137753239758
-63.134525169110766
-63.77932969292129
-141.44899140184705
-139.8899026976326
-140.8999446210121
-138.58721190361942
-138.22281515912337
-135.6979841505283
-135.6979841505283
-135.27723119417522
-132.64067337598067
-130.57204964096914
-130.57204964096914
-129.91385702605373
-128.9219969065481
-127.96224747319192
-127.96224747319192
-127.96224747319192
-122.21361457103168
-122.21361457103168
-122.21361457103168
-123.28304259430226
-121.70470278549729
-121.70470278549729
-118.95501376788069
-114.79760523712997
-114.79760523712997
-114.79760523712997
-114.79760523712997
-113.23848309705721
-112.56066288958158
-111.32618289735471
-111.31675151331561
-111.31675151331561
-111.15533941824208
-110.95615025852446
-112.28755160019224
-111.74875414741541
