site,depth,age,d13c
1262,benthic,65.11870161,1.2
1262,benthic,65.12339516,1.19
1262,benthic,65.12808871,1.23
1262,benthic,65.13270455,1.29
1262,benthic,65.13693182,1.32
1262,benthic,65.13975,1.21
1262,benthic,65.14961364,1.22
1262,benthic,65.15384091,1.1
1262,benthic,65.15665909,1.32
1262,benthic,65.16229545,1.37
1262,benthic,65.16652273,1.43
1262,benthic,65.17075,1.38
1262,benthic,65.17356818,1.39
1262,benthic,65.17920455,1.35
1262,benthic,65.18343182,1.31
1262,benthic,65.18765909,1.34
1262,benthic,65.19329545,1.28
1262,benthic,65.19611364,1.29
1262,benthic,65.20034091,1.3
1262,benthic,65.20597727,1.19
1262,benthic,65.21161364,1.2
1262,benthic,65.21865909,1.01
1262,benthic,65.22288636,1.06
1262,benthic,65.239,1.03
1262,benthic,65.243,0.96
1262,benthic,65.255,1.02
1262,benthic,65.267,1.17
1262,benthic,65.275,1.12
1262,benthic,65.291,1.18
1262,benthic,65.303,1.1
1262,benthic,65.319,1.01
1262,benthic,65.333375,0.84
1262,benthic,65.343875,1.18
1262,benthic,65.347375,1.15
1262,benthic,65.354375,1.28
1262,benthic,65.359625,1.43
1262,benthic,65.364875,1.36
1262,benthic,65.366625,1.36
1262,benthic,65.375375,1.42
1262,benthic,65.392875,1.2
1262,benthic,65.398125,1.26
1262,benthic,65.403375,1.3
1262,benthic,65.417375,1.3
1262,benthic,65.419125,1.34
1262,benthic,65.44107609,1.3
1262,benthic,65.4471413,1.33
1262,benthic,65.45320652,1.42
1262,benthic,65.45927174,1.36
1262,benthic,65.46533696,1.35
1262,benthic,65.47140217,1.39
1262,benthic,65.47746739,1.35
1262,benthic,65.48353261,1.39
1262,benthic,65.48959783,1.38
1262,benthic,65.49566304,1.38
1262,benthic,65.5138587,1.28
1262,benthic,65.51992391,1.26
1262,benthic,65.52598913,1.43
1262,benthic,65.53492857,1.42
1262,benthic,65.53669048,1.45
1262,benthic,65.53996762,1.28
1262,benthic,65.54172952,1.19
1262,benthic,65.54197619,1.45
1262,benthic,65.54349143,1.19
1262,benthic,65.54701524,1.34
1262,benthic,65.5472619,1.48
1262,benthic,65.54877714,1.44
1262,benthic,65.55254762,1.52
1262,benthic,65.55406286,1.49
1262,benthic,65.56144524,1.44
1262,benthic,65.56311905,1.49
1262,benthic,65.56840476,1.54
1262,benthic,65.57411333,1.26
1262,benthic,65.57728476,1.37
1262,benthic,65.57897619,1.41
1262,benthic,65.58678143,1.38
1262,benthic,65.58954762,1.41
1262,benthic,65.58993524,1.41
1262,benthic,65.59310667,1.39
1262,benthic,65.60011905,1.35
1262,benthic,65.60443238,1.48
1262,benthic,65.60695619,1.49
1262,benthic,65.61452762,1.56
1262,benthic,65.61488095,1.4
1262,benthic,65.62209905,1.5
1262,benthic,65.62245238,1.51
1262,benthic,65.62714667,1.53
1262,benthic,65.62967048,1.56
1262,benthic,65.63002381,1.6
1262,benthic,65.6347181,1.54
1262,benthic,65.6372419,1.51
1262,benthic,65.63759524,1.63
1262,benthic,65.64228952,1.58
1262,benthic,65.64516667,1.42
1262,benthic,65.64986095,1.58
1262,benthic,65.65238476,1.37
1262,benthic,65.6527381,1.72
1262,benthic,65.65743238,1.64
1262,benthic,65.65995619,1.59
1262,benthic,65.66248,1.66
1262,benthic,65.66500381,1.57
1262,benthic,65.67005143,1.56
1262,benthic,65.67509905,1.58
1262,benthic,65.68014667,1.69
1262,benthic,65.68302381,1.51
1262,benthic,65.6877181,1.64
1262,benthic,65.69059524,1.44
1262,benthic,65.69528952,1.6
1262,benthic,65.69781333,1.52
1262,benthic,65.69816667,1.41
1262,benthic,65.70286095,1.44
1262,benthic,65.70538476,1.48
1262,benthic,65.7057381,1.55
1262,benthic,65.715064,1.63
1262,benthic,65.71855,1.51
1262,benthic,65.7259,1.63
1262,benthic,65.731738,1.6
1262,benthic,65.7343,1.56
1262,benthic,65.7427,1.59
1262,benthic,65.7511,1.66
1262,benthic,65.7553,1.55
1262,benthic,65.7637,1.53
1262,benthic,65.7679,1.6
1262,benthic,65.7721,1.66
1262,benthic,65.7763,1.55
1262,benthic,65.7805,1.56
1262,benthic,65.7847,1.61
1262,benthic,65.7889,1.6
1262,benthic,65.7931,1.61
1262,benthic,65.7973,1.46
1262,benthic,65.8015,1.46
1262,benthic,65.8057,1.56
1262,benthic,65.8099,1.59
1262,benthic,65.813125,1.48
1262,benthic,65.815375,1.55
1262,benthic,65.817625,1.62
1262,benthic,65.819875,1.54
1262,benthic,65.822125,1.53
1262,benthic,65.824375,1.61
1262,benthic,65.826625,1.5
1262,benthic,65.828875,1.61
1262,benthic,65.831125,1.58
1262,benthic,65.833375,1.7
1262,benthic,65.835625,1.67
1262,benthic,65.837875,1.58
1262,benthic,65.840125,1.57
1262,benthic,65.842375,1.74
1262,benthic,65.844625,1.72
1262,benthic,65.846875,1.71
1262,benthic,65.849125,1.8
1262,benthic,65.851375,1.82
1262,benthic,65.853625,1.78
1262,benthic,65.855875,1.97
1262,benthic,65.858125,1.84
1262,benthic,65.860375,1.9
1262,benthic,65.862625,1.8
1262,benthic,65.864875,1.85
1262,benthic,65.867125,1.85
1262,benthic,65.869375,1.88
1262,benthic,65.871625,1.83
1262,benthic,65.873875,1.8
1262,benthic,65.876125,1.81
1262,benthic,65.878375,1.83
1262,benthic,65.880625,1.84
1262,benthic,65.882875,1.87
1262,benthic,65.885125,1.78
1262,benthic,65.887375,1.81
1262,benthic,65.889625,1.93
1262,benthic,65.891875,1.91
1262,benthic,65.894125,1.9
1262,benthic,65.896375,1.9
1262,benthic,65.898625,2
1262,benthic,65.900875,1.94
1262,benthic,65.903125,2.05
